st_line_interpolate_point,,89860,,,89860
st_linesubstring,,89860,,,89860
st_line_substring,,89860,,,89860
st_linelocatepoint,"{geom1,geom2}",701,,,701
_st_buffer,,89860,,,89860
st_buffer,,89860,,,89860
st_buffer,,89860,,,89860
st_minimumboundingradius,"{"",center,radius}",2249,,,2249
st_minimumboundingcircle,"{inputgeom,segs_per_quarter}",89860,,,89860
st_offsetcurve,"{line,distance,params}",89860,,,89860
st_generatepoints,"{area,npoints}",89860,,,89860
st_convexhull,,89860,,,89860
_st_linecrossingdirection,"{geom1,geom2}",23,,,23
st_linecrossingdirection,"{geom1,geom2}",23,,,23
st_simplifypreservetopology,,89860,,,89860
st_isvalidreason,,25,,,25
st_isvaliddetail,,90260,,,90260
st_isvaliddetail,,90260,,,90260
st_isvalidreason,,25,,,25
st_isvalid,,16,,,16
st_hausdorffdistance,"{geom1,geom2}",701,,,701
st_hausdorffdistance,"{geom1,geom2,""}",701,,,701
st_difference,"{geom1,geom2}",89860,,,89860
st_boundary,,89860,,,89860
st_points,,89860,,,89860
st_symdifference,"{geom1,geom2}",89860,,,89860
st_symmetricdifference,"{geom1,geom2}",89860,,,89860
st_union,"{geom1,geom2}",89860,,,89860
st_unaryunion,,89860,,,89860
st_removerepeatedpoints,"{geom,tolerance}",89860,,,89860
st_clipbybox2d,"{geom,box}",89860,,,89860
st_subdivide,"{geom,maxvertices}",89860,,,89860
st_makevalid,,89860,,,89860
st_cleangeometry,,89860,,,89860
st_split,"{geom1,geom2}",89860,,,89860
st_sharedpaths,"{geom1,geom2}",89860,,,89860
st_snap,"{geom1,geom2,""}",89860,,,89860
st_relatematch,,16,,,16
st_node,{g},89860,,,89860
st_delaunaytriangles,"{g1,tolerance,flags}",89860,,,89860
_st_voronoi,"{g1,clip,tolerance,return_polygons}",89860,,,89860
st_voronoipolygons,"{g1,tolerance,extend_to}",89860,,,89860
st_voronoilines,"{g1,tolerance,extend_to}",89860,,,89860
st_combinebbox,,89887,,,89887
st_combinebbox,,89887,,,89887
st_combine_bbox,,89887,,,89887
st_combinebbox,,89891,,,89891
st_combine_bbox,,89891,,,89891
st_extent,,89891,,,89891
st_3dextent,,89887,,,89887
st_collect,"{geom1,geom2}",89860,,,89860
st_memcollect,,89860,,,89860
st_collect,,89860,,,89860
st_memunion,,89860,,,89860
pgis_abs_in,,90299,,,90299
pgis_abs_out,,2275,,,2275
pgis_geometry_accum_transfn,,90299,,,90299
pgis_geometry_accum_transfn,,90299,,,90299
pgis_geometry_accum_transfn,,90299,,,90299
pgis_geometry_accum_finalfn,,89868,,,89868
pgis_geometry_union_finalfn,,89860,,,89860
pgis_geometry_collect_finalfn,,89860,,,89860
pgis_geometry_polygonize_finalfn,,89860,,,89860
pgis_geometry_clusterintersecting_finalfn,,89868,,,89868
pgis_geometry_clusterwithin_finalfn,,89868,,,89868
pgis_geometry_makeline_finalfn,,89860,,,89860
st_accum,,89868,,,89868
st_union,,89860,,,89860
st_union,,89860,,,89860
st_collect,,89860,,,89860
st_clusterintersecting,,89868,,,89868
st_clusterwithin,,89868,,,89868
st_polygonize,,89860,,,89860
st_makeline,,89860,,,89860
st_clusterkmeans,"{geom,k}",23,,,23
st_relate,"{geom1,geom2}",25,,,25
st_relate,"{geom1,geom2,""}",25,,,25
st_relate,"{geom1,geom2,""}",16,,,16
st_disjoint,"{geom1,geom2}",16,,,16
_st_touches,"{geom1,geom2}",16,,,16
st_touches,"{geom1,geom2}",16,,,16
_st_dwithin,"{geom1,geom2,""}",16,,,16
st_dwithin,"{geom1,geom2,""}",16,,,16
_st_intersects,"{geom1,geom2}",16,,,16
st_intersects,"{geom1,geom2}",16,,,16
_st_crosses,"{geom1,geom2}",16,,,16
st_crosses,"{geom1,geom2}",16,,,16
_st_contains,"{geom1,geom2}",16,,,16
st_contains,"{geom1,geom2}",16,,,16
_st_coveredby,"{geom1,geom2}",16,,,16
st_coveredby,"{geom1,geom2}",16,,,16
_st_covers,"{geom1,geom2}",16,,,16
st_covers,"{geom1,geom2}",16,,,16
_st_containsproperly,"{geom1,geom2}",16,,,16
st_containsproperly,"{geom1,geom2}",16,,,16
_st_overlaps,"{geom1,geom2}",16,,,16
_st_within,"{geom1,geom2}",16,,,16
st_within,"{geom1,geom2}",16,,,16
st_overlaps,"{geom1,geom2}",16,,,16
st_isvalid,,16,,,16
st_minimumclearance,,701,,,701
st_minimumclearanceline,,89860,,,89860
st_centroid,,89860,,,89860
st_geometricmedian,"{g,tolerance,max_iter,fail_if_not_converged}",89860,,,89860
st_isring,,16,,,16
st_pointonsurface,,89860,,,89860
st_issimple,,16,,,16
st_iscollection,,16,,,16
_st_equals,"{geom1,geom2}",16,,,16
st_equals,"{geom1,geom2}",16,,,16
equals,"{geom1,geom2}",16,,,16
_st_geomfromgml,,89860,,,89860
st_geomfromgml,,89860,,,89860
st_geomfromgml,,89860,,,89860
st_gmltosql,,89860,,,89860
st_gmltosql,,89860,,,89860
st_geomfromkml,,89860,,,89860
st_geomfromgeojson,,89860,,,89860
postgis_libjson_version,,25,,,25
st_linefromencodedpolyline,,89860,,,89860
st_asencodedpolyline,"{geom,""}",25,,,25
st_numinteriorring,,23,,,23
st_assvg,"{geom,rel,maxdecimaldigits}",25,,,25
_st_asgml,,25,,,25
st_asgml,"{geom,maxdecimaldigits,options}",25,,,25
st_asgml,"{version,geom,maxdecimaldigits,options,nprefix,id}",25,,,25
_st_askml,,25,,,25
st_askml,"{geom,maxdecimaldigits}",25,,,25
st_askml,"{version,geom,maxdecimaldigits,nprefix}",25,,,25
st_asgeojson,"{geom,maxdecimaldigits,options}",25,,,25
_st_asgeojson,,25,,,25
st_asgeojson,"{gj_version,geom,maxdecimaldigits,options}",25,,,25
st_geohash,"{geom,maxchars}",25,,,25
st_box2dfromgeohash,,89891,,,89891
st_pointfromgeohash,,89860,,,89860
st_geomfromgeohash,,89860,,,89860
st_numpoints,,23,,,23
st_numgeometries,,23,,,23
st_geometryn,,89860,,,89860
st_dimension,,23,,,23
st_exteriorring,,89860,,,89860
st_numinteriorrings,,23,,,23
st_interiorringn,,89860,,,89860
geometrytype,,25,,,25
st_geometrytype,,25,,,25
st_pointn,,89860,,,89860
st_numpatches,,23,,,23
st_patchn,,89860,,,89860
st_startpoint,,89860,,,89860
st_endpoint,,89860,,,89860
st_isclosed,,16,,,16
st_isempty,,16,,,16
st_asbinary,,17,,,17
st_asbinary,,17,,,17
st_astext,,25,,,25
st_geometryfromtext,,89860,,,89860
st_geometryfromtext,,89860,,,89860
st_geomfromtext,,89860,,,89860
st_geomfromtext,,89860,,,89860
st_wkttosql,,89860,,,89860
st_pointfromtext,,89860,,,89860
st_pointfromtext,,89860,,,89860
st_linefromtext,,89860,,,89860
st_linefromtext,,89860,,,89860
st_polyfromtext,,89860,,,89860
st_polyfromtext,,89860,,,89860
st_polygonfromtext,,89860,,,89860
st_polygonfromtext,,89860,,,89860
st_mlinefromtext,,89860,,,89860
st_mlinefromtext,,89860,,,89860
st_multilinestringfromtext,,89860,,,89860
st_multilinestringfromtext,,89860,,,89860
st_mpointfromtext,,89860,,,89860
st_mpointfromtext,,89860,,,89860
st_multipointfromtext,,89860,,,89860
st_mpolyfromtext,,89860,,,89860
st_mpolyfromtext,,89860,,,89860
st_multipolygonfromtext,,89860,,,89860
st_multipolygonfromtext,,89860,,,89860
st_geomcollfromtext,,89860,,,89860
st_geomcollfromtext,,89860,,,89860
st_geomfromwkb,,89860,,,89860
st_geomfromwkb,,89860,,,89860
st_pointfromwkb,,89860,,,89860
st_pointfromwkb,,89860,,,89860
st_linefromwkb,,89860,,,89860
st_linefromwkb,,89860,,,89860
st_linestringfromwkb,,89860,,,89860
st_linestringfromwkb,,89860,,,89860
st_polyfromwkb,,89860,,,89860
st_polyfromwkb,,89860,,,89860
st_polygonfromwkb,,89860,,,89860
st_polygonfromwkb,,89860,,,89860
st_mpointfromwkb,,89860,,,89860
st_mpointfromwkb,,89860,,,89860
st_multipointfromwkb,,89860,,,89860
st_multipointfromwkb,,89860,,,89860
st_multilinefromwkb,,89860,,,89860
st_mlinefromwkb,,89860,,,89860
st_mlinefromwkb,,89860,,,89860
st_mpolyfromwkb,,89860,,,89860
st_mpolyfromwkb,,89860,,,89860
st_multipolyfromwkb,,89860,,,89860
st_multipolyfromwkb,,89860,,,89860
st_geomcollfromwkb,,89860,,,89860
st_geomcollfromwkb,,89860,,,89860
_st_maxdistance,"{geom1,geom2}",701,,,701
st_maxdistance,"{geom1,geom2}",701,,,701
st_closestpoint,"{geom1,geom2}",89860,,,89860
st_shortestline,"{geom1,geom2}",89860,,,89860
_st_longestline,"{geom1,geom2}",89860,,,89860
st_longestline,"{geom1,geom2}",89860,,,89860
_st_dfullywithin,"{geom1,geom2,""}",16,,,16
st_dfullywithin,"{geom1,geom2,""}",16,,,16
st_swapordinates,"{geom,ords}",89860,,,89860
st_flipcoordinates,,89860,,,89860
st_bdpolyfromtext,,89860,,,89860
st_bdmpolyfromtext,,89860,,,89860
unlockrows,,23,,,23
lockrow,,23,,,23
lockrow,,23,,,23
lockrow,,23,,,23
lockrow,,23,,,23
addauth,,16,,,16
checkauth,,23,,,23
checkauth,,23,,,23
checkauthtrigger,,2279,,,2279
gettransactionid,,28,,,28
enablelongtransactions,,25,,,25
longtransactionsenabled,,16,,,16
disablelongtransactions,,25,,,25
geography_typmod_in,,23,,,23
geography_typmod_out,,2275,,,2275
geography_in,,90480,,,90480
geography_out,,2275,,,2275
geography_recv,,90480,,,90480
geography_send,,17,,,17
geography_analyze,,16,,,16
geography,,90480,,,90480
geography,,90480,,,90480
bytea,,17,,,17
st_astext,,25,,,25
st_astext,,25,,,25
st_geographyfromtext,,90480,,,90480
st_geogfromtext,,90480,,,90480
st_geogfromwkb,,90480,,,90480
postgis_typmod_dims,,23,,,23
postgis_typmod_srid,,23,,,23
postgis_typmod_type,,25,,,25
geography,,90480,,,90480
geometry,,89860,,,89860
geography_gist_consistent,,16,,,16
geography_gist_compress,,2281,,,2281
geography_gist_penalty,,2281,,,2281
geography_gist_picksplit,,2281,,,2281
geography_gist_union,,2281,,,2281
geography_gist_same,,2281,,,2281
geography_gist_decompress,,2281,,,2281
geography_overlaps,,16,,,16
geography_distance_knn,,701,,,701
geography_gist_distance,,701,,,701
overlaps_geog,,16,,,16
overlaps_geog,,16,,,16
overlaps_geog,,16,,,16
geog_brin_inclusion_add_value,,16,,,16
geography_lt,,16,,,16
geography_le,,16,,,16
geography_gt,,16,,,16
geography_ge,,16,,,16
geography_eq,,16,,,16
geography_cmp,,23,,,23
st_assvg,"{geog,rel,maxdecimaldigits}",25,,,25
st_assvg,,25,,,25
_st_asgml,,25,,,25
st_asgml,,25,,,25
st_asgml,"{geog,maxdecimaldigits,options}",25,,,25
st_area,"{geog,use_spheroid}",701,,,701
st_area,,701,,,701
st_asgml,"{version,geog,maxdecimaldigits,options,nprefix,id}",25,,,25
_st_askml,,25,,,25
st_askml,"{geog,maxdecimaldigits}",25,,,25
st_askml,,25,,,25
st_askml,"{version,geog,maxdecimaldigits,nprefix}",25,,,25
_st_asgeojson,,25,,,25
st_asgeojson,,25,,,25
st_asgeojson,"{geog,maxdecimaldigits,options}",25,,,25
st_asgeojson,"{gj_version,geog,maxdecimaldigits,options}",25,,,25
_st_distance,,701,,,701
_st_dwithin,,16,,,16
st_distance,,701,,,701
st_distance,,701,,,701
st_distance,,701,,,701
_st_expand,,90480,,,90480
st_dwithin,,16,,,16
st_dwithin,,16,,,16
st_dwithin,,16,,,16
_st_distanceuncached,,701,,,701
_st_distanceuncached,,701,,,701
_st_distanceuncached,,701,,,701
_st_distancetree,,701,,,701
_st_distancetree,,701,,,701
_st_dwithinuncached,,16,,,16
_st_dwithinuncached,,16,,,16
st_length,"{geog,use_spheroid}",701,,,701
st_length,,701,,,701
st_project,"{geog,distance,azimuth}",90480,,,90480
st_azimuth,"{geog1,geog2}",701,,,701
